gene,category,n,mean,sd,sem,ci95_l,ci95_u,min,max,q25,q75,iqr
GPR137C,tumour,14,0.481017348931386,0.64066990644355,0.17122623485202,0.14542009541303,0.816614602449742,0,2.15995461404875,0,0.700861149476883,0.700861149476883
GPR137C,host,1,0,,,,,0,0,0,0,0
GPR137C,ht,8,0,0,0,0,0,0,0,0,0,0
HEBP2,tumour,14,65.2769296831303,41.9906439860685,11.2224716604191,43.2812894111873,87.2725699550732,22.8055131896815,176.441316113843,48.5879469771152,64.1109024545245,15.5229554774093
HEBP2,host,9,31.6121511348784,28.4546086040124,9.48486953467078,13.0221484488624,50.2021538208943,1.61105424850406,78.1680825450547,13.8299089849477,55.5780788773692,41.7481698924215
HEBP2,ht,1,37.369801172116,,,,,37.369801172116,37.369801172116,37.369801172116,37.369801172116,0
HECA,tumour,11,103.838574526193,60.6542053003993,18.2879309944191,67.9948884253776,139.682260627008,15.1235413811866,213.60330631202,64.8155214960751,136.507711066855,71.6921895707801
HECA,host,8,79.5790953080197,49.9147826752567,17.6475406555634,44.990551207409,114.16763940863,36.7857386741761,189.547841448188,49.873712639326,83.3684877117541,33.4947750724281
HECA,ht,2,168.898801308164,11.2022631797661,7.92119625904898,153.373541925954,184.424060690373,160.977605049115,176.819997567213,164.938203178639,172.859399437688,7.92119625904903
HHAT,tumour,14,6.83177549357161,3.97873019771091,1.06336037387468,4.74762745819019,8.91592352895304,0,15.7057367164392,5.22309901413128,7.41252458611415,2.18942557198286
HHAT,host,13,4.66541706384678,5.93023813752355,1.64475212927333,1.4417621269755,7.88907200071807,0,22.2753173757033,1.24042242128635,5.69807647195061,4.45765405066426
HHAT,ht,6,0.895211182744572,0.925188549093501,0.377706643524164,0.154919764715703,1.63550260077344,0,2.51945592388516,0.206287273158567,1.04089654493388,0.834609271775313
IL10,tumour,14,38.406154296727,25.0265665169093,6.68863124811307,25.2966779445562,51.5156306488978,3.7131709168542,94.5221336324161,18.2112229456611,49.6708702951326,31.4596473494714
IL10,host,5,23.8717749673334,9.48195437488592,4.24045890835929,15.5606282290272,32.1829217056397,12.8884339880325,35.3431007393109,15.3318838282398,28.912223695471,13.5803398672312
IL10,ht,1,0,,,,,0,0,0,0,0
IL19,tumour,14,0,0,0,0,0,0,0,0,0,0
IL19,host,7,0.320410337863408,0.547888713436369,0.207082468841681,-0.0854638428959234,0.72628451862274,0,1.16883619937448,0,0.537018082834688,0.537018082834688
IL19,ht,4,0,0,0,0,0,0,0,0,0,0
IL20,tumour,14,0,0,0,0,0,0,0,0,0,0
IL20,host,10,0.834044121349933,1.27824779073647,0.404217443280554,0.0417924905971853,1.62629575210268,0,3.83297095705994,0,1.35023029739354,1.35023029739354
IL20,ht,5,0,0,0,0,0,0,0,0,0,0
INTS7,tumour,14,86.0987783064373,30.5612687924403,8.16784265188702,70.0901008773487,102.107455735526,52.3147228590105,164.678561706254,68.1322552057898,100.02319231165,31.8909371058606
INTS7,host,13,10.583419834067,6.45263053894587,1.78963771306109,7.07579437109263,14.0910452970414,0,18.2909261104096,6.31171547662221,15.700134086879,9.3884186102568
INTS7,ht,1,184.003086804437,,,,,184.003086804437,184.003086804437,184.003086804437,184.003086804437,0
IRF6,tumour,14,7.94496260925271,11.410203316869,3.04950510893967,1.96804242506007,13.9218827934454,0.916165790503694,45.611026379363,2.68681298735093,6.76582754207022,4.07901455471929
IRF6,host,14,22.9486634468961,29.9538703949659,8.00550860184239,7.25815490935944,38.6391719844328,0,91.1446148552614,0,39.5485294100991,39.5485294100991
IRF6,ht,7,0.643158479692973,0.939151023116861,0.354965721528441,-0.0525615502490456,1.33887850963499,0,2.4754472779028,0,1.01333103997401,1.01333103997401
KCNH1,tumour,14,18.6123527396479,11.1486233869721,2.97959493201606,12.7724539843784,24.4522514949175,5.04118046039553,48.1579328643992,11.4400892703505,23.8900026538201,12.4499133834696
KCNH1,host,9,6.06825976684832,8.12123253028004,2.70707751009335,0.762485343706996,11.3740341899896,0,26.4568894767878,1.53665655388308,6.98123507685094,5.44457852296786
KCNH1,ht,7,11.651630223379,8.72012182689807,3.29589625087979,5.19179227487405,18.111468171884,0,27.7264925321754,7.42972129072154,14.5368436692117,7.10712237849021
KIF21B,tumour,14,49.4132187578876,19.8465965817946,5.30422605018529,39.0171267336653,59.8093107821099,16.3994562760115,85.4676576940811,39.4043392743625,60.5667784153883,21.1624391410258
KIF21B,host,14,27.4189102497608,18.4528740257956,4.93173802898766,17.7528813317584,37.0849391677632,0,79.3817695968454,18.598091301436,35.4558720377053,16.8577807362693
KIF21B,ht,2,109.334140680945,20.0152764364768,14.1529376955561,81.5948925222162,137.073388839675,95.1812029853894,123.487078376502,102.257671833167,116.410609528723,14.1529376955561
LGR6,tumour,14,0.647989202173858,0.796441013340242,0.212857814335303,0.23079555224875,1.06518285209896,0,2.78476883734518,0.133121310508638,0.800260175802253,0.667138865293615
LGR6,host,11,1.92068849218201,1.76524713014837,0.532242035723075,0.877513271106501,2.96386371325751,0,5.11525899697896,0.286950497512783,3.29125628510488,3.0043057875921
LGR6,ht,1,3.64986438551236,,,,,3.64986438551236,3.64986438551236,3.64986438551236,3.64986438551236,0
